Vendor,Vendor Name,Psoft Part Number,MOVE Part Number,Qty OnHand,Status,Type,Stock Type,Weight,Weight UOM,Master Pack Qty,Std Pack Qty
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492331,573100D00000G,9760,A,AA,STD1,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492327,566010B03400G,1317,A,DB,STND,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492311,533102B02551G,2179,A,EE,STD1,0, ,0,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492310,530714B00000G,2500,A,IB,MGD2,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492296,513002B02500G,938,A,AA,STND,0, ,0,500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492294,507222B00000G,4550,A,BB,STD1,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492292,507002B00000G,6796,A,AA,STND,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492288,504222B00000G,17199,A,AA,STND,0, ,0,2000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492287,504102B00000G,7909,A,AA,STD1,0, ,0,1000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492252,322400B00000G,4451,A,BB,STND,0, ,0,3000
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492251,321527B00000G,490,A,IC,MGD2,0, ,0,250
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492243,118300F00000G,14752,A,AC,STND,0, ,0,2500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001492237,115000F00000G,17817,A,AC,MGD,0, ,0,2500
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000001113279,015490,600,A,NN,STND,0, ,1210,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000000349892,THE530316,2000,A,NN,STND,0, ,2000,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000000088467,AAV611553B11000,101,A,DE,STND,0, ,1,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000000074022,THE2281B,490,A,NN,STND,0, ,25,1
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000000001303,AAVVIS009186,125,A,DE,CUST,0, ,1,1
